k_adal = {
	867.1.1 = {	change_development_level = 1 }
	1066.1.1 = { change_development_level = 3 }
	1178.1.1 = { change_development_level = 6 }
}
c_dawaro = {
	762.1.1 = {
		government = tribal_government
	}
	775.1.2 = {
	}
	780.1.1 = {
	}
	840.1.1 = {
	}
	864.1.1 = {
	}
	
	# Makhzumi
	
	896.1.1 = {
	}
	1064.1.1 = {
	}
	1098.1.1 = {
	}
	1121.1.1 = {
	}
	1157.1.1 = {
	}
	1183.8.24 = {
	}
	1193.1.1 = {
	}
	1235.1.1 = {
	}
	1239.1.1 = {
	}
	1252.1.1 = {
	}
	1262.1.1 = {
	}
	1263.1.1 = {
	}
	1269.1.1 = {
	}
	1278.7.1 = {
	}
	1278.8.1 = {
	}
	1279.1.1 = {
	}
	
	# Walashma
	
	1280.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_gabal = {
	762.1.1 = {
		government = tribal_government
	}
	775.1.2 = {
	}
	780.1.1 = {
	}
	840.1.1 = {
	}
	864.1.1 = {
	}
	
	# Makhzumi
	
	896.1.1 = {
	}
	1064.1.1 = {
	}
	1098.1.1 = {
	}
	1121.1.1 = {
	}
	1157.1.1 = {
	}
	1183.8.24 = {
	}
	1193.1.1 = {
	}
	1235.1.1 = {
	}
	1239.1.1 = {
	}
	1252.1.1 = {
	}
	1262.1.1 = {
	}
	1263.1.1 = {
	}
	1269.1.1 = {
	}
	1278.7.1 = {
	}
	1278.8.1 = {
	}
	1279.1.1 = {
	}
	
	# Walashma
	
	1280.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_arusi = {
	762.1.1 = {
		government = tribal_government
	}
	775.1.2 = {
	}
	780.1.1 = {
	}
	840.1.1 = {
	}
	864.1.1 = {
	}
	
	# Makhzumi
	
	896.1.1 = {
	}
	1064.1.1 = {
	}
	1098.1.1 = {
	}
	1121.1.1 = {
	}
	1157.1.1 = {
	}
	1183.8.24 = {
	}
	1193.1.1 = {
	}
	1235.1.1 = {
	}
	1239.1.1 = {
	}
	1252.1.1 = {
	}
	1262.1.1 = {
	}
	1263.1.1 = {
	}
	1269.1.1 = {
	}
	1278.7.1 = {
	}
	1278.8.1 = {
	}
	1279.1.1 = {
	}
	
	# Walashma
	
	1280.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
d_adal = {
	867.1.1 = {	change_development_level = 3 }
	1066.1.1 = { change_development_level = 6 }
	1178.1.1 = { change_development_level = 20 }
	
	# Duchy of Afar
	
	768.1.1 = {
	}
	806.1.1 = {
	}
	
	#Shirazi (place holders from Kilwa)
	
	843.1.1 = {
	}
	867.1.1 = {
	}
	885.1.1 = {
	}
	910.1.1 = {
	}
	920.1.1 = {
	}
	980.1.1 = {
	}
	1022.1.1 = {
	}
	1027.1.1 = {
	}
	1032.1.1 = {
	}
	1035.1.1 = {
	}
	1064.1.1 = {
	}
	1090.1.1 = {
	}
	1106.1.1 = {
	}
	1115.1.1 = {
	}
	1117.1.1 = {
	}
	1158.1.1 = {
	}
	1177.1.1 = {
	}
	1180.1.1 = {
	}
	1181.1.1 = {
	}
	1200.1.1 = {
	}
	1206.1.1 = {
	}
	1217.1.1 = {
	}
	1259.1.1 = {
	}
	
	# Walashma dynasty
	
	1274.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_dakkar = {
	768.1.1 = {
	}
	806.1.1 = {
	}
	
	#Shirazi (place holders from Kilwa)
	
	843.1.1 = {
	}
	867.1.1 = {
	}
	885.1.1 = {
	}
	910.1.1 = {
	}
	920.1.1 = {
	}
	980.1.1 = {
	}
	1022.1.1 = {
	}
	1027.1.1 = {
	}
	1032.1.1 = {
	}
	1035.1.1 = {
	}
	1064.1.1 = {
	}
	1090.1.1 = {
	}
	1106.1.1 = {
	}
	1115.1.1 = {
	}
	1117.1.1 = {
	}
	1158.1.1 = {
	}
	1177.1.1 = {
	}
	1180.1.1 = {
	}
	1181.1.1 = {
	}
	1200.1.1 = {
	}
	1206.1.1 = {
	}
	1217.1.1 = {
	}
	1259.1.1 = {
	}
	
	# Walashma dynasty
	
	1274.1.1 = {
	}
	
	# Warsangali dynasty
	
	1304.1.1 = {
	}
	1311.6.1 = {
	}
	1328.6.1 = {
	}
}
c_harar = {
	867.1.1 = {	change_development_level = 5 }
	1066.1.1 = { change_development_level = 8 }
	1178.1.1 = { change_development_level = 20 }
	
	768.1.1 = {
	}
	806.1.1 = {
	}
	
	#Shirazi (place holders from Kilwa)
	
	843.1.1 = {
	}
	867.1.1 = {
	}
	885.1.1 = {
	}
	910.1.1 = {
	}
	920.1.1 = {
	}
	980.1.1 = {
	}
	1022.1.1 = {
	}
	1027.1.1 = {
	}
	1032.1.1 = {
	}
	1035.1.1 = {
	}
	1064.1.1 = {
	}
	1090.1.1 = {
	}
	1106.1.1 = {
	}
	1115.1.1 = {
	}
	1117.1.1 = {
	}
	1158.1.1 = {
	}
	1177.1.1 = {
	}
	1180.1.1 = {
	}
	1181.1.1 = {
	}
	1200.1.1 = {
	}
	1206.1.1 = {
	}
	1217.1.1 = {
	}
	1259.1.1 = {
	}
	
	# Walashma dynasty
	
	1274.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_hargaya = {
	768.1.1 = {
	}
	806.1.1 = {
	}
	
	#Shirazi (place holders from Kilwa)
	
	843.1.1 = {
	}
	867.1.1 = {
	}
	885.1.1 = {
	}
	910.1.1 = {
	}
	920.1.1 = {
	}
	980.1.1 = {
	}
	1022.1.1 = {
	}
	1027.1.1 = {
	}
	1032.1.1 = {
	}
	1035.1.1 = {
	}
	1064.1.1 = {
	}
	1090.1.1 = {
	}
	1106.1.1 = {
	}
	1115.1.1 = {
	}
	1117.1.1 = {
	}
	1158.1.1 = {
	}
	1177.1.1 = {
	}
	1180.1.1 = {
	}
	1181.1.1 = {
	}
	1200.1.1 = {
	}
	1206.1.1 = {
	}
	1217.1.1 = {
	}
	1259.1.1 = {
	}
	
	# Walashma dynasty
	
	1274.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_fafan = {
	860.1.1 = {
		government = tribal_government
	}
	888.1.1 = {
	}
	
	1053.1.1 = {
	}
	1075.1.1 = {
	}
	1107.1.1 = {
	}
	1122.1.1 = {
	}
	1159.1.1 = {
	}
	1190.1.1 = {
	}
}
c_awssa = {
	866.1.1 = {
		government = tribal_government
	}

	# Makhzumi
	
	896.1.1 = {
	}
	1064.1.1 = {
	}
	1098.1.1 = {
	}
	1121.1.1 = {
	}
	1157.1.1 = {
	}
	1183.8.24 = {
	}
	1193.1.1 = {
	}
	1235.1.1 = {
	}
	1239.1.1 = {
	}
	1252.1.1 = {
	}
	1262.1.1 = {
	}
	1263.1.1 = {
	}
	1269.1.1 = {
	}
	1278.7.1 = {
	}
	1278.8.1 = {
	}
	1279.1.1 = {
	}
	
	# Walashma
	
	1280.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_sitti = {
	762.1.1 = {
		government = tribal_government
	}
	775.1.2 = {
	}
	780.1.1 = {
	}
	840.1.1 = {
	}
	864.1.1 = {
	}
	
	# Makhzumi
	
	896.1.1 = {
	}
	1064.1.1 = {
	}
	1098.1.1 = {
	}
	1121.1.1 = {
	}
	1157.1.1 = {
	}
	1183.8.24 = {
	}
	1193.1.1 = {
	}
	1235.1.1 = {
	}
	1239.1.1 = {
	}
	1252.1.1 = {
	}
	1262.1.1 = {
	}
	1263.1.1 = {
	}
	1269.1.1 = {
	}
	1278.7.1 = {
	}
	1278.8.1 = {
	}
	1279.1.1 = {
	}
	
	# Walashma
	
	1280.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_danakil = {
	866.1.1 = {
		government = tribal_government
	}
	1050.1.1 = {
	}
	1086.1.1 = {
	}
	1112.1.1 = {
	}
	1148.1.1 = {
	}
	1166.1.1 = {
	}
	1198.1.1 = {
	}
	1239.1.1 = {
	}
}
c_edd = {
	866.1.1 = {
		government = tribal_government
	}
	1050.1.1 = {
	}
	1086.1.1 = {
	}
	1112.1.1 = {
	}
	1148.1.1 = {
	}
	1166.1.1 = {
	}
	1198.1.1 = {
	}
	1239.1.1 = {
	}
}
c_afar = {
	866.1.1 = {
		government = tribal_government
	}
	1065.1.1 = {
	}
	1085.1.1 = {
	}
