k_bale = {
	867.1.1 = {	change_development_level = 1 }
	1066.1.1 = { change_development_level = 3 }
	1178.1.1 = { change_development_level = 6 }
}
c_gode = {
	#Garen dynasty - fictional placeholders
	840.1.1 = {
	}
	866.1.1 = {
	}
	903.1.1 = {
	}
	943.1.1 = {
	}
	969.1.1 = {
	}
	1008.1.1 = {
	}
	1033.1.1 = {
	}
	1060.1.1 = {
	}
	1089.1.1 = {
	}
	1117.1.1 = {
	}
	1150.1.1 = {
	}
	1185.1.1 = {
	}
	1213.1.1 = {
	}
}
c_ganale = {
	768.1.1 = {
		government = tribal_government
	}
	820.1.1 = {
	}
	889.1.1 = {
	}
	916.1.1 = {
	}
	949.1.1 = {
	}
	973.1.1 = {
	}
	1004.1.1 = {
	}
	1032.1.1 = {
	}
	1090.1.1 = {
	}
	1106.1.1 = {
	}
	1115.1.1 = {
	}
	1117.1.1 = {
	}
	1158.1.1 = {
	}
	1177.1.1 = {
	}
	1181.1.1 = {
	}
	1200.1.1 = {
	}
	1206.1.1 = {
	}
	1217.1.1 = {
	}
	1259.1.1 = {
	}
	
	# Walashma dynasty
	
	1274.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_gidaya = {
	768.1.1 = {
		government = tribal_government
	}
	801.1.1 = {
	}
	872.1.1 = {
	}
	902.1.1 = {
	}
	933.1.1 = {
	}
	971.1.1 = {
	}
	1010.1.1 = {
	}
	1041.1.1 = {
	}
	1090.1.1 = {
	}
	1106.1.1 = {
	}
	1115.1.1 = {
	}
	1117.1.1 = {
	}
	1158.1.1 = {
	}
	1177.1.1 = {
	}
	1181.1.1 = {
	}
	1200.1.1 = {
	}
	1206.1.1 = {
	}
	1217.1.1 = {
	}
	1259.1.1 = {
	}
	
	# Walashma dynasty
	
	1274.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_sidamo = {
	#Sidamo confederation fictional leaders
	860.1.1 = {
		government = tribal_government
	}
	890.1.1 = {
	}
	933.1.1 = {
	}
	990.1.1 = {
	}
	1050.1.1 = {
	}
	1081.1.1 = {
	}
	1120.1.1 = {
	}
	1159.1.1 = {
	}
	1199.1.1 = {
	}
	1235.1.1 = {
	}
}
c_bali = {
	867.1.1 = {	change_development_level = 3 }
	1066.1.1 = { change_development_level = 5 }
	1178.1.1 = { change_development_level = 6 }

	768.1.1 = {
		government = tribal_government
	}
	800.1.1 = {
	}
	870.1.1 = {
	}
	900.1.1 = {
	}
	927.1.1 = {
	}
	969.1.1 = {
	}
	1007.1.1 = {
	}
	1024.1.1 = {
	}
	1090.1.1 = {
	}
	1106.1.1 = {
	}
	1115.1.1 = {
	}
	1117.1.1 = {
	}
	1158.1.1 = {
	}
	1177.1.1 = {
	}
	1181.1.1 = {
	}
	1200.1.1 = {
	}
	1206.1.1 = {
	}
	1217.1.1 = {
	}
	1259.1.1 = {
	}
	
	# Walashma dynasty
	
	1274.1.1 = {
	}
	1304.1.1 = {
	}
	1321.1.1 = {
	}
	1328.1.1 = {
	}
	1332.1.1 = {
	}
	1337.1.1 = {
	}
}
c_marsabit = {
	867.1.1 = {	change_development_level = 0 }
	1066.1.1 = { change_development_level = 2 }
	1178.1.1 = { change_development_level = 3 }

# Samalo clans
	860.1.1 = {
		government = tribal_government
	}
	890.1.1 = {
	}
	933.1.1 = {
	}
	990.1.1 = {
	}
	1050.1.1 = {
	}
	1081.1.1 = {
	}
	1120.1.1 = {
	}
	1159.1.1 = {
	}
	1199.1.1 = {
	}
	1235.1.1 = {
	}
}
c_fudalhi = {
	867.1.1 = {	change_development_level = 0 }
	1066.1.1 = { change_development_level = 2 }
	1178.1.1 = { change_development_level = 3 }

# Samalo clans
	860.1.1 = {
		government = tribal_government
	}
	890.1.1 = {
	}
	933.1.1 = {
	}
	990.1.1 = {
	}
	1050.1.1 = {
	}
	1081.1.1 = {
	}
	1120.1.1 = {
	}
	1159.1.1 = {
	}
	1199.1.1 = {
	}
	1235.1.1 = {
	}
}
c_el_waak = {
	867.1.1 = {	change_development_level = 0 }
	1066.1.1 = { change_development_level = 2 }
	1178.1.1 = { change_development_level = 3 }

#Sidamo confederation fictional leaders
	860.1.1 = {
		government = tribal_government
	}
	890.1.1 = {
	}
	933.1.1 = {
	}
	990.1.1 = {
	}
	1050.1.1 = {
	}
	1081.1.1 = {
	}
	1120.1.1 = {
	}
	1159.1.1 = {
	}
	1199.1.1 = {
	}
	1235.1.1 = {
	}
}
c_lag_dera = {
	867.1.1 = {	change_development_level = 0 }
	1066.1.1 = { change_development_level = 2 }
	1178.1.1 = { change_development_level = 3 }

# Orma clan fictional leaders
	860.1.1 = {
		government = tribal_government
	}
	890.1.1 = {
	}
	933.1.1 = {
	}
	990.1.1 = {
	}
	1050.1.1 = {
	}
	1081.1.1 = {
	}
	1120.1.1 = {
	}
	1159.1.1 = {
	}
	1199.1.1 = {
	}
	1235.1.1 = {
	}
}
