d_volhynia = {
	###Kievan Rus' & creation of principality of Volhynia
	981.1.2 = {
	}
	987.1.2 = {
	}
	1013.1.2 = {
	}
	1036.1.2 = {
	}
	1054.2.20 = {
	}
	1057.1.2 = {
	}
	1064.1.2 = {
	}
	1069.1.2 = {
	}
	
	###Fragmentation of Kievan Rus'
	1073.1.2 = {
	}
	1078.1.2 = {
	}
	1078.10.4 = {
	}
	1093.4.13 = {
	}
	1113.4.16 = {
	}
	1125.5.19 = {
	}
	1132.4.14 = {
	}
	1139.2.8 = {
	}
	1139.3.4 = {
	}
	1146.8.1 = {
	}
	1147.1.2 = {
	}
	1149.1.2 = {
	}
	1151.1.2 = {
	}
	1154.2.6 = {
	}
	1154.11.13 = {
	}
	1157.5.15 = {
	}
	1158.1.2 = {
	}
	1159.1.2 = {
	}
	1161.2.12 = {
	}
	1161.3.6 = {
	}
	1167.3.14 = {
	}
	1169.1.2 = {
	}
	1170.1.2 = {
	}
	1170.7.19 = {
	}
	1178.1.1 = {
		succession_laws = { male_only_law }
	}
	1194.7.27 = {
	}
	1202.1.2 = {
	}
	1204.1.2 = {
	}
	1205.1.2 = {
	}
	1206.1.2 = {
	}
	1207.1.2 = {
	}
	1210.1.2 = {
	}
	1214.1.2 = {
	}
	1223.6.2 = {
	}
	1239.3.3 = {
	}
	1240.1.2 = {
	}
	1241.1.2 = {
	}
	1243.1.2 = {
	}
	1246.9.30 = {
	}
	1263.11.14 = {
	}
	1265.1.2 = {
	}
	1285.1.2 = {
	}
	1303.1.2 = {
	}
	1325.1.2 = {
	}

}
c_volodymyr = {
	867.1.1 = { change_development_level = 2 }
	1066.1.1 = { change_development_level = 9 }
	1178.1.1 = { change_development_level = 20 }
	
	###Pre-Kievan Rus'
	862.4.4 = {
		government = tribal_government
	}
	896.6.16 = {
	}
	926.8.14 = {
	}
	935.1.1 = {
		government = feudal_government	#Ahistorical, just for ease of bookmarks.
	}
	946.1.15 = {
	}
	
	###Kievan Rus'
	981.1.2 = {
	}
	987.1.2 = {
	}
	1013.1.2 = {
	}
	1036.1.2 = {
	}
	1054.2.20 = {
	}
	1057.1.2 = {
	}
	1064.1.2 = {
	}
	1069.1.2 = {
	}
	
	###Fragmentation of Kievan Rus'
	1073.1.2 = {
	}
	1078.1.2 = {
	}
	1078.10.4 = {
	}
	1093.4.13 = {
	}
	1113.4.16 = {
	}
	1125.5.19 = {
	}
	1132.4.14 = {
	}
	1139.2.8 = {
	}
	1139.3.4 = {
	}
	1146.8.1 = {
	}
	1147.1.2 = {
	}
	1149.1.2 = {
	}
	1151.1.2 = {
	}
	1154.2.6 = {
	}
	1154.11.13 = {
	}
	1157.5.15 = {
	}
	1158.1.2 = {
	}
	1159.1.2 = {
	}
	1161.2.12 = {
	}
	1161.3.6 = {
	}
	1167.3.14 = {
	}
	1169.1.2 = {
	}
	1170.1.2 = {
	}
	1170.7.19 = {
	}
	1194.7.27 = {
	}
	1202.1.2 = {
	}
	1204.1.2 = {
	}
	1205.1.2 = {
	}
	1206.1.2 = {
	}
	1207.1.2 = {
	}
	1210.1.2 = {
	}
	1214.1.2 = {
	}
	1223.6.2 = {
	}
	1239.3.3 = {
	}
	1240.1.2 = {
	}
	1241.1.2 = {
	}
	1243.1.2 = {
	}
	1246.9.30 = {
	}
	1263.11.14 = {
	}
	1265.1.2 = {
	}
	1285.1.2 = {
	}
	1303.1.2 = {
	}
	1325.1.2 = {
	}

}
c_peresopnytsia = {
	###Pre-Kievan Rus'
	862.4.4 = {
		government = tribal_government
	}
	896.6.16 = {
	}
	926.8.14 = {
	}
	935.1.1 = {
		government = feudal_government	#Ahistorical, just for ease of bookmarks.
	}
	946.1.15 = {
	}
	
	###Kievan Rus'
	981.1.2 = {
	}
	987.1.2 = {
	}
	1013.1.2 = {
	}
	1036.1.2 = {
	}
	1054.2.20 = {
	}
	1057.1.2 = {
	}
	1064.1.2 = {
	}
	1069.1.2 = {
	}
	
	###Fragmentation of Kievan Rus'
	1073.1.2 = {
	}
	1078.1.2 = {
	}
	1078.10.4 = {
	}
	1093.4.13 = {
	}
	1113.4.16 = {
	}
	1125.5.19 = {
	}
	1132.4.14 = {
	}
	1139.2.8 = {
	}
	1139.3.4 = {
	}
	1146.8.1 = {
	}
	1147.1.2 = {
	}
	1149.1.2 = {
	}
	1151.1.2 = {
	}
	1154.2.6 = {
	}
	1154.11.13 = {
	}
	1157.5.15 = {
	}
	1158.1.2 = {
	}
	1159.1.2 = {
	}
	1161.2.12 = {
	}
	1161.3.6 = {
	}
	1167.3.14 = {
	}
	1169.1.2 = {
	}
	1170.1.2 = {
	}
	1170.8.19 = {
	}
	1171.1.20 = {
	}
	1171.5.30 = {
	}
	1194.7.27 = {
	}
	1202.1.2 = {
	}
	1204.1.2 = {
	}
	1205.1.2 = {
	}
	1206.1.2 = {
	}
	1207.1.2 = {
	}
	1210.1.2 = {
	}
	1214.1.2 = {
	}
	1223.6.2 = {
	}
	1239.3.3 = {
	}
	1240.1.2 = {
	}
	1241.1.2 = {
	}
	1243.1.2 = {
	}
	1246.9.30 = {
	}
	1263.11.14 = {
	}
	1265.1.2 = {
	}
	1285.1.2 = {
	}
	1303.1.2 = {
	}
	1325.1.2 = {
	}

}
c_berestye = {
	###Pre-Kievan Rus'
	500.1.1 = {
		government = tribal_government
	}
	860.1.1 = {
	}
	865.4.17 = {
	}
	
	###Conquered by Kievan Rus' (estimated)
	985.1.2 = {
		government = feudal_government
	}
	1015.7.15 = {
	}
	
	###Conquered by Poland
	1016.1.2 = {
	}
	1025.4.18 = {
	}
	1025.6.17 = {
	}
	1031.4.1 = {
	}
	1032.7.10 = {
	}
	1034.5.11 = {
	}
	1039.1.10 = {
	}
	
	###Reconquered by Kievan Rus
	1044.1.2 = {
	}
	1054.2.20 = {
	}
	
	###Fragmentation of Kievan Rus'
	1093.8.22 = {
	}
	1130.12.17 = {
	}
	1161.4.5 = {
	}
	
	###Reconquered by Poland
	1180.3.20 = {
	}
	
	###Retaken by Kievan Rus
	1183.5.11 = {
	}
}
c_dorohychyn = {
	###Pre-Kievan Rus'
	500.1.1 = {
		government = tribal_government
	}
	860.1.1 = {
	}
	865.4.17 = {
	}
	
	###Conquered by Kievan Rus' (estimated)
	985.1.2 = {
		government = feudal_government
	}
	1015.7.15 = {
	}
	
	###Conquered by Poland
	1016.1.2 = {
	}
	1025.4.18 = {
	}
	1025.6.17 = {
	}
	1031.4.1 = {
	}
	1032.7.10 = {
	}
	1034.5.11 = {
	}
	1039.1.10 = {
	}
	
	###Reconquered by Kievan Rus
	1044.1.2 = {
	}
	1054.2.20 = {
	}
	
	###Fragmentation of Kievan Rus'
	1093.8.22 = {
	}
	1130.12.17 = {
	}
	1161.4.5 = {
	}
	
	###Reconquered by Poland
	1180.3.20 = {
	}
	
	###Retaken by Kievan Rus
	1183.5.11 = {
	}
}
d_halych = {
	1153.1.1 = {
	}
	1178.1.1 = {
		succession_laws = { male_only_law }
	}
}
c_halych = {
	867.1.1 = { change_development_level = 2 }
	1066.1.1 = { change_development_level = 9 }
	1178.1.1 = { change_development_level = 20 }
	
	###Pre-Kievan Rus'
	500.1.1 = {
		government = tribal_government
	}
	850.1.1 = {
	}
	889.8.12 = {
	}
	935.1.1 = {
		government = feudal_government	#Ahistorical, just for ease of bookmarks.
	}
	936.12.11 = {
	}
	974.5.30 = {
	}
	
	###Chrobatians conquered by Kievan Rus' in 992
	992.4.10 = {
	}
	1041.3.3 = {
	}
	1062.3.3 = {
	}
	1066.1.1 = {
	}
	
	###Fragmentation of Kievan Rus' in 1069
	1077.1.2 = {
	}
	1078.10.4 = {
	}
	1093.4.13 = {
	}
	1113.4.16 = {
	}
	1125.5.19 = {
	}
	1132.4.14 = {
	}
	1139.2.8 = {
	}
	1139.3.4 = {
	}
	1146.8.1 = {
	}
	1147.1.2 = {
	}
	1149.1.2 = {
	}
	1151.1.2 = {
	}
	1153.1.1 = {
	}
	1178.1.1 = {
		succession_laws = { male_only_law }
	}
	1194.7.27 = {
	}
	1202.1.2 = {
	}
	1204.1.2 = {
	}
	1205.1.2 = {
	}
	1206.1.2 = {
	}
	1207.1.2 = {
	}
	1210.1.2 = {
	}
	1214.1.2 = {
	}
	1223.6.2 = {
	}
	1239.3.3 = {
	}
	1240.1.2 = {
	}
	1241.1.2 = {
	}
	1243.1.2 = {
	}
	1246.9.30 = {
	}
	1263.11.14 = {
	}
	1265.1.2 = {
	}
	1285.1.2 = {
	}
	1303.1.2 = {
	}
	1325.1.2 = {
	}
}
c_lviv = {
	###Pre-Kievan Rus'
	500.1.1 = {
		government = tribal_government
	}
	850.1.1 = {
	}
	889.8.12 = {
	}
	935.1.1 = {
		government = feudal_government	#Ahistorical, just for ease of bookmarks.
	}
	936.12.11 = {
	}
	974.5.30 = {
	}
	
	###Chrobatians conquered by Kievan Rus' in 992
	992.4.10 = {
	}
	1041.3.3 = {
	}
	1062.3.3 = {
	}
	
	###Fragmentation of Kievan Rus' in 1069
	1077.1.2 = {
	}
	1078.10.4 = {
	}
	1093.4.13 = {
	}
	1113.4.16 = {
	}
	1125.5.19 = {
	}
	1132.4.14 = {
	}
	1139.2.8 = {
	}
	1139.3.4 = {
	}
	1146.8.1 = {
	}
	1147.1.2 = {
	}
	1149.1.2 = {
	}
	1151.1.2 = {
	}
	1153.1.1 = {
	}
	1178.1.1 = {
	}
	1194.7.27 = {
	}
	1202.1.2 = {
	}
	1204.1.2 = {
	}
	1205.1.2 = {
	}
	1206.1.2 = {
	}
	1207.1.2 = {
	}
	1210.1.2 = {
	}
	1214.1.2 = {
	}
	1223.6.2 = {
	}
	1239.3.3 = {
	}
	1240.1.2 = {
	}
	1241.1.2 = {
	}
	1243.1.2 = {
	}
	1246.9.30 = {
	}
	1263.11.14 = {
	}
	1265.1.2 = {
	}
	1285.1.2 = {
	}
	1303.1.2 = {
	}
	1325.1.2 = {
	}

}
c_terebovl = {
	###Pre-Kievan Rus'
	500.1.1 = {
		government = tribal_government
	}
	865.8.4 = {
	}
	
	###Kievan Rus'
	882.1.2 = {
	}
	912.1.2 = {
	}
	935.1.1 = {
		government = feudal_government	#Ahistorical, just for ease of bookmarks.
	}
	945.1.2 = {
	}
	972.1.2 = {
	}
	978.1.2 = {
	}
	1015.7.15 = {
	}
	1016.1.2 = {
	}
	1018.1.2 = {
	}
	1019.1.2 = {
	}
	1054.2.20 = {
	}
	
	###Fragmentation of Kievan Rus'
	1069.4.15 = {
	}
	1073.1.2 = {
	}
	1076.12.27 = {
	}
	1077.1.2 = {
	}
	1078.10.4 = {
	}
	1093.4.13 = {
	}
	1113.4.16 = {
	}
	1125.5.19 = {
	}
	1132.4.14 = {
	}
	1139.2.8 = {
	}
	1139.3.4 = {
	}
	1146.8.1 = {
	}
	1147.1.2 = {
	}
	1149.1.2 = {
	}
	1151.1.2 = {
	}
	1153.1.1 = {
	}
	1194.7.27 = {
	}
	1202.1.2 = {
	}
	1204.1.2 = {
	}
	1205.1.2 = {
	}
	1206.1.2 = {
	}
	1207.1.2 = {
	}
	1210.1.2 = {
	}
	1214.1.2 = {
	}
