k_tsang = {
	867.1.1 = { change_development_level = 5 }
	1066.1.1 = { change_development_level = 8 }
	1178.1.1 = { change_development_level = 14 }
}
d_xigaze = {
	619.1.1={
	}
	#Chonggyé Dynasty - fictional placeholders
	740.1.1={
	}
	800.1.1={
	}
	820.1.1={
	}
	840.1.1={
	}
	#Era of Fragmentation
	842.1.1={
	}
	860.1.1={
	}
	880.1.1={
	}
	900.1.1={
	}
	920.1.1={
	}
	940.1.1={
	}
	960.1.1={
	}
	980.1.1={
	}
	1000.1.1={
	}
	1020.1.1={
	}
	1040.1.1={
	}
	1060.1.1={
	}
	#Sakya Trizin is established
	1073.1.1={
	}
	1080.1.1={
	}
	1100.1.1={
	}
	1120.1.1={
	}
	1140.1.1={
	}
	1160.1.1={
	}
	1180.1.1={
	}
	1200.1.1={
	}
	1220.1.1={
	}
	1240.1.1={
	}
	1260.1.1={
	}
	1280.1.1={
	}
	1300.1.1={
	}
	1320.1.1={
	}
	1340.1.1={
	}
	#Phagmodrupa Kingdom supersedes Sakya in U and Tsang
	1358.1.1={
	}
	1360.1.1={
	}
}
c_xigaze = {
	619.1.1={
	}
	#Chonggyé Dynasty - fictional placeholders
	740.1.1={
	}
	800.1.1={
	}
	820.1.1={
	}
	840.1.1={
	}
	860.1.1={
	}
	880.1.1={
	}
	900.1.1={
	}
	920.1.1={
	}
	940.1.1={
	}
	960.1.1={
	}
	980.1.1={
	}
	1000.1.1={
	}
	1020.1.1={
	}
	1040.1.1={
	}
	1060.1.1={
	}
	1080.1.1={
	}
	1100.1.1={
	}
	1120.1.1={
	}
	1140.1.1={
	}
	1160.1.1={
	}
	1180.1.1={
	}
	1200.1.1={
	}
	1220.1.1={
	}
	1240.1.1={
	}
	1260.1.1={
	}
	1280.1.1={
	}
	1300.1.1={
	}
	1320.1.1={
	}
	1340.1.1={
	}
	1360.1.1={
	}
}
c_gyangze = {
	619.1.1={
	}
	#Ger dynasty (ancestors of Rinpungpa dynasty) - fictional placeholders
	700.1.1={
	}
	760.1.1={
	}
	780.1.1={
	}
	800.1.1={
	}
	820.1.1={
	}
	840.1.1={
	}
	860.1.1={
	}
	880.1.1={
	}
	900.1.1={
	}
	920.1.1={
	}
	940.1.1={
	}
	960.1.1={
	}
	980.1.1={
	}
	1000.1.1={
	}
	1020.1.1={
	}
	1040.1.1={
	}
	1060.1.1={
	}
	1080.1.1={
	}
	1100.1.1={
	}
	1120.1.1={
	}
	1140.1.1={
	}
	1160.1.1={
	}
	1180.1.1={
	}
	1200.1.1={
	}
	1220.1.1={
	}
	1240.1.1={
	}
	1260.1.1={
	}
	1280.1.1={
	}
	1300.1.1={
	}
	1320.1.1={
	}
	1340.1.1={
	}
	#Conquered by Phagmodrupa Kingdom
	1349.1.1={
	}
	#Phagmodrupa Kingdom supersedes Sakya in U and Tsang
	1358.1.1={
	}
	1360.1.1={
	}
	1370.1.1={
	}
}
c_kangmar = {
	400.1.1={
	}
	#Khangmar dynasty - fictional placeholders
	740.1.1={
	}
	800.1.1={
	}
	820.1.1={
	}
	840.1.1={
	}
	860.1.1={
	}
	880.1.1={
	}
	900.1.1={
	}
	920.1.1={
	}
	940.1.1={
	}
	960.1.1={
	}
	980.1.1={
	}
	1000.1.1={
	}
	1020.1.1={
	}
	1040.1.1={
	}
	1060.1.1={
	}
	1080.1.1={
	}
	1100.1.1={
	}
	1120.1.1={
	}
	1140.1.1={
	}
	1160.1.1={
	}
	1180.1.1={
	}
	1200.1.1={
	}
	1220.1.1={
	}
	1240.1.1={
	}
	1260.1.1={
	}
	1280.1.1={
	}
	1300.1.1={
	}
	1320.1.1={
	}
	1340.1.1={
	}
	#Conquered by Phagmodrupa Kingdom
	1349.1.1={
	}
	#Phagmodrupa Kingdom supersedes Sakya in U and Tsang
	1358.1.1={
	}
	1360.1.1={
	}
}
d_sagya = {
	549.1.1={
	}
	583.1.1={
	}
	588.1.1={
	}
	606.1.1={
	}
	611.1.1={
	}
	619.1.1={
	}
	638.1.1={
	}
	664.1.1={
	}
	689.1.1={
	}
	712.1.1={
	}
	750.1.1={
	}
	806.1.1={
	}
	827.1.1={
	}
	#Era of Fragmentation
	842.1.1={
	}
	859.1.1={
	}
	887.1.1={
	}
	909.1.1={
	}
	946.1.1={
	}
	973.1.1={
	}
	997.1.1={
	}
	1031.1.1={
	}
	1055.1.1={
	}
	#Sakya Trizin is established
	1073.1.1={
	}
	1102.1.1={
	}
	1111.1.1={
	}
	1158.1.1={
	}
	1172.1.1={
	}
	1216.1.1={
	}
	1243.1.1={
	}
	1267.1.1={
	}
	1275.1.1={
	}
	1280.12.15={
	}
	1287.12.24={
	}
	1298.1.1={
	}
	1324.1.1={
	}
	1342.1.1={
	}
	1344.1.1={
	}
	1347.1.1={
	}
	#Phagmodrupa Kingdom supersedes Sakya in U and Tsang
	1358.1.1={
	}
}
c_sagya = {
	400.1.1={
	}
	549.1.1={
	}
	583.1.1={
	}
	588.1.1={
	}
	611.1.1={
	}
	638.1.1={
	}
	664.1.1={
	}
	689.1.1={
	}
	712.1.1={
	}
	750.1.1={
	}
	806.1.1={
	}
	827.1.1={
	}
	859.1.1={
	}
	887.1.1={
	}
	909.1.1={
	}
	946.1.1={
	}
	973.1.1={
	}
	997.1.1={
	}
	1031.1.1={
	}
	1055.1.1={
	}
	1073.1.1={
	}
	1102.1.1={
	}
	1111.1.1={
	}
	1158.1.1={
	}
	1172.1.1={
	}
	1216.1.1={
	}
	1243.1.1={
	}
	1267.1.1={
	}
	1275.1.1={
	}
	1280.12.15={
	}
	1287.12.24={
	}
	1298.1.1={
	}
	1324.1.1={
	}
	1342.1.1={
	}
	1344.1.1={
	}
	1347.1.1={
	}
	1364.1.1={
	}
}
c_nyalam = {
	400.1.1={
	}
	#Tsondu dynasty - fictional placeholders
	740.1.1={
	}
	800.1.1={
	}
	820.1.1={
	}
	840.1.1={
	}
	860.1.1={
	}
	880.1.1={
	}
	900.1.1={
	}
	920.1.1={
	}
	940.1.1={
	}
	960.1.1={
	}
	980.1.1={
	}
	1000.1.1={
	}
	1020.1.1={
	}
	1040.1.1={
	}
	1060.1.1={
	}
	1080.1.1={
	}
	1100.1.1={
	}
	1120.1.1={
	}
	1140.1.1={
	}
	1160.1.1={
	}
	1180.1.1={
	}
	1200.1.1={
	}
	1220.1.1={
	}
	1240.1.1={
	}
	1260.1.1={
	}
	1280.1.1={
	}
	1300.1.1={
	}
	1320.1.1={
	}
	1340.1.1={
	}
	1360.1.1={
	}
}
c_gyirong = {
	#Zhangzhung conquered by Tibet
	625.1.1 = {
	}
	#Dzonga vassals - fictional placeholders
	740.1.1 = {
	}
	800.1.1 = {
	}
	820.1.1 = {
	}
	840.1.1 = {
	}
	860.1.1 = {
	}
	880.1.1 = {
	}
	900.1.1 = {
	}
